model_family,spec,feature_spec_role,n_features,feature_list,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2
ols,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.0120576049949711,0.004529630762499779,0.01512315946306063,0.005345128864174217,-0.09199845704261489,0.07994795642433282,0.01235985584655528,0.017457226464204303,0.0024801381377677068,0.008637481611752125,0.011497422704671367,-0.0037229446212099226
ols,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.011835650776700403,0.0040740476396976515,0.014872425144513443,0.004889815007984872,-0.06810260855559262,0.10522937323010888,0.012356534989959866,0.017429962742574502,0.005593446796671064,0.008609596139502101,0.01146911196486475,0.0012140146498611504
ols,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.01200382905562152,0.004371876026980877,0.01502572387384938,0.00516965200621077,-0.08289930527578893,0.09503436770920426,0.012353407541430295,0.017427976467313564,0.005820074084710414,0.00862541070467707,0.011497917433916809,-0.003809326028835436
ols,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.011795505648818436,0.003952257624727937,0.01485659800956021,0.00480304626114327,-0.06750698093316643,0.09242973026034314,0.01233380604469408,0.017412158932729575,0.007623879502204556,0.008746327075674592,0.01165634053950812,-0.031661701755868465
ols,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.011795097600260283,0.004079056202133157,0.01488226168927472,0.004911289284133995,-0.06809535189323516,0.08750909200164791,0.012359709387651432,0.017457283187777863,0.0024736556666480336,0.008636119427297502,0.011500040218680273,-0.0041800136528016285
ols,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.011833676517137418,0.004050434737552472,0.014924072195842903,0.004882641640922268,-0.07479706199245555,0.07596566216360791,0.012348016511712535,0.017449638461886362,0.003347118699585705,0.008698280917524554,0.011590238770772306,-0.019994008805356955
ols,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.011508982418370178,0.004521260151244443,0.014618375569900583,0.00531425009804477,-0.014390284513986348,0.020482565081891134,0.012368827726195034,0.01747562200860638,0.00037675830720051984,0.008552518915731324,0.011454470229185242,0.003762533802573298
ols,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.011493885671448734,0.004405572831587758,0.014603931892749967,0.005180317972649666,-0.01610522886055854,0.012224912204940909,0.012365984995428627,0.017443285568051633,0.004072689877444469,0.008567217532550046,0.01147066169044815,0.0009440811498258039
ols,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.011476406626219965,0.004472759334062123,0.014612135628735722,0.005274552563658986,-0.014527653898576428,0.011674258640509819,0.012362737376819465,0.017476588679348877,0.0002661661615707134,0.008600025074482686,0.01153177428218003,-0.009729677722804864
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.011944474159706446,0.004374086638239866,0.015206320418719957,0.005065512905409914,-0.11377758344172695,0.09241722669300236,0.011535296675767682,0.015931292460867844,0.1692447763346765,0.008547490559970072,0.011500017875182145,-0.0041761116016725275
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.012367488651314111,0.004062721279630324,0.01564760920784678,0.004688388834428645,-0.20659231124789335,0.25012142618440775,0.011581648939149146,0.015949116655290908,0.167384810971137,0.008557361629980362,0.011573113724532362,-0.016982070831895957
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.01207689689818623,0.0042145973188162334,0.015282757259852208,0.004898811958219651,-0.13372217431453834,0.14652378101140906,0.011454112449855643,0.015788636568829482,0.18405606959122256,0.008556530782739212,0.011570929548700547,-0.0165982401524154
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.01203228716073594,0.004248446186626501,0.015263740607196591,0.0049497606355627935,-0.1279153012737179,0.12571910370553482,0.011466252676376265,0.015828563055136063,0.17992411487204463,0.008913083710537438,0.011984275631047717,-0.09052702574685512
random_forest,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.01238233197267536,0.004228979457826509,0.01572727984677635,0.004832072031042507,-0.21081828464609242,0.20558611987449946,0.011646184355656583,0.0160586602030186,0.1559082075971231,0.008530520169965361,0.01148331997333224,-0.0012621229241795984
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.012104407923564256,0.004547330969980923,0.015402503048801178,0.00521460695883218,-0.14039540846330092,0.09897762093240968,0.011552588516581598,0.015975030110440276,0.16467701659454947,0.008991808017733357,0.012041784908080676,-0.10101842295579622
random_forest,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.0122134471687892,0.0047701594458981,0.015442826065190799,0.005511235707690787,-0.13506563565560858,0.0026158914211311573,0.01159736716664408,0.016271371016921245,0.13339866067760053,0.009087543377721927,0.011926218634481255,-0.07998665289955698
random_forest,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.01227717727825236,0.003906211642034305,0.015544461169469963,0.0046851418599308855,-0.18295593575590244,0.18133518750361885,0.011858951262473105,0.016393667151450818,0.12032290008424618,0.009080658535595806,0.012238776111149506,-0.13733612862389033
random_forest,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.012134072076521044,0.004228516292165074,0.015415520704053129,0.0049955489508726565,-0.15272778956816158,0.17554084053179564,0.011709886999832362,0.016573950285715355,0.10086868461059917,0.009149048651233987,0.012078424983524419,-0.10772885212806727
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.014425570748535116,0.004718064370704141,0.017989827543494187,0.005581898004384941,-0.5751055977379055,0.16996322194153504,0.009825648678763397,0.01295492341800564,0.4506605856575291,0.008926859953225275,0.011954169166475348,-0.08505474278178071
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.014348184064985031,0.0037145910892934317,0.018018588501017823,0.004331377678227189,-0.6416966558296956,0.3903416978492438,0.009872578786160845,0.012982900448169417,0.44828535271471437,0.008860777332341778,0.011727752121726552,-0.04434119900260791
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.013711706863527679,0.0050272508558268205,0.017373942789859143,0.005835698271898417,-0.45414417628397263,0.15526594205481412,0.009369497596179614,0.012290914774172988,0.5055305385537656,0.008885516027900678,0.01196132001550038,-0.08635326603894322
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.013738811954047138,0.004435960621244378,0.01738948218704166,0.005235557280440665,-0.482041697047896,0.2310178287657342,0.009379602509611404,0.012314255812946633,0.503650712690412,0.00959633240555727,0.01273631427095856,-0.2316870876769972
xgboost,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.014317280723850098,0.0022677513670191873,0.018076494381581043,0.002606441484119032,-0.7358822074621214,0.5834323782354525,0.011485179689197766,0.01572622981704257,0.19049358243942505,0.009027252311576143,0.011841621582184901,-0.06471950879676935
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.014546335473486568,0.004265032408952967,0.0182550847380619,0.005225131536036829,-0.6382147052036128,0.19859578141701922,0.009916221523362467,0.013100703710849608,0.43822771518859804,0.00970496882126396,0.012874984732049108,-0.2586538260011584
xgboost,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.013046428419611287,0.004806753918407887,0.016744985537176644,0.005676493359070172,-0.34889620355075285,0.16120970690547962,0.011455098065079806,0.01590195374471569,0.1723017598281562,0.009636164610985893,0.012516882503294814,-0.1896116425354748
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.013474641863543904,0.0035143248006947896,0.017265277415257168,0.004221806727337455,-0.5256603013382541,0.5087004735733649,0.011612898319149084,0.015812564962989568,0.18158099546809847,0.010152825881165943,0.01345285490215069,-0.37417413860212334
xgboost,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.012661010669476967,0.003933454464703933,0.01635558727604623,0.004728451814723576,-0.3214709750766318,0.2655432743118523,0.011503054925509149,0.016222824557025773,0.13856204457383414,0.009561715951836056,0.01241447388208906,-0.17022532683864977
