model_family,spec,feature_spec_role,n_features,feature_list,cv_mean_mae,cv_std_mae,cv_mean_rmse,cv_std_rmse,cv_mean_r2,cv_std_r2,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,rank_test_rmse,rank_test_mae,rank_test_r2
ols,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.0115089824183701,0.0045212601512444,0.0146183755699005,0.0053142500980447,-0.0143902845139863,0.0204825650818911,0.012368827726195,0.0174756220086063,0.0003767583072005,0.0085525189157313,0.0114544702291852,0.0037625338025732,1.0,4.0,1.0
ols,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.0118356507767004,0.0040740476396976,0.0148724251445134,0.0048898150079848,-0.0681026085555926,0.1052293732301088,0.0123565349899598,0.0174299627425745,0.005593446796671,0.0086095961395021,0.0114691119648647,0.0012140146498611,2.0,9.0,2.0
ols,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.0114938856714487,0.0044055728315877,0.0146039318927499,0.0051803179726496,-0.0161052288605585,0.0122249122049409,0.0123659849954286,0.0174432855680516,0.0040726898774444,0.00856721753255,0.0114706616904481,0.0009440811498258,3.0,7.0,3.0
historical_mean,historical_mean,naive_baseline,0,<none>,0.011448710083253594,0.004437381695886028,0.014591726208175365,0.005243104986867282,-0.012392596803555497,0.009208154096373357,0.012370016313726941,0.017478914982009534,0.0,0.008548243971143519,0.011478692023032028,-0.00045523822369064604,4.0,3.0,4.0
random_forest,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.0123823319726753,0.0042289794578265,0.0157272798467763,0.0048320720310425,-0.2108182846460924,0.2055861198744994,0.0116461843556565,0.0160586602030186,0.1559082075971231,0.0085305201699653,0.0114833199733322,-0.0012621229241795,5.0,1.0,5.0
ols,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.0120576049949711,0.0045296307624997,0.0151231594630606,0.0053451288641742,-0.0919984570426148,0.0799479564243328,0.0123598558465552,0.0174572264642043,0.0024801381377677,0.0086374816117521,0.0114974227046713,-0.0037229446212099,6.0,12.0,6.0
ols,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.0120038290556215,0.0043718760269808,0.0150257238738493,0.0051696520062107,-0.0828993052757889,0.0950343677092042,0.0123534075414302,0.0174279764673135,0.0058200740847104,0.008625410704677,0.0114979174339168,-0.0038093260288354,7.0,10.0,7.0
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.0119444741597064,0.0043740866382398,0.0152063204187199,0.0050655129054099,-0.1137775834417269,0.0924172266930023,0.0115352966757676,0.0159312924608678,0.1692447763346765,0.00854749055997,0.0115000178751821,-0.0041761116016725,8.0,2.0,8.0
ols,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.0117950976002602,0.0040790562021331,0.0148822616892747,0.0049112892841339,-0.0680953518932351,0.0875090920016479,0.0123597093876514,0.0174572831877778,0.002473655666648,0.0086361194272975,0.0115000402186802,-0.0041800136528016,9.0,11.0,9.0
ols,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.0114764066262199,0.0044727593340621,0.0146121356287357,0.0052745525636589,-0.0145276538985764,0.0116742586405098,0.0123627373768194,0.0174765886793488,0.0002661661615707,0.0086000250744826,0.01153177428218,-0.0097296777228048,10.0,8.0,10.0
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.0120768968981862,0.0042145973188162,0.0152827572598522,0.0048988119582196,-0.1337221743145383,0.146523781011409,0.0114541124498556,0.0157886365688294,0.1840560695912225,0.0085565307827392,0.0115709295487005,-0.0165982401524154,11.0,5.0,11.0
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.0123674886513141,0.0040627212796303,0.0156476092078467,0.0046883888344286,-0.2065923112478933,0.2501214261844077,0.0115816489391491,0.0159491166552909,0.167384810971137,0.0085573616299803,0.0115731137245323,-0.0169820708318959,12.0,6.0,12.0
ols,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.0118336765171374,0.0040504347375524,0.0149240721958429,0.0048826416409222,-0.0747970619924555,0.0759656621636079,0.0123480165117125,0.0174496384618863,0.0033471186995857,0.0086982809175245,0.0115902387707723,-0.0199940088053569,13.0,13.0,13.0
ols,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.0117955056488184,0.0039522576247279,0.0148565980095602,0.0048030462611432,-0.0675069809331664,0.0924297302603431,0.012333806044694,0.0174121589327295,0.0076238795022045,0.0087463270756745,0.0116563405395081,-0.0316617017558684,14.0,14.0,14.0
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_mean_lag1",0.014348184064985,0.0037145910892934,0.0180185885010178,0.0043313776782271,-0.6416966558296956,0.3903416978492438,0.0098725787861608,0.0129829004481694,0.4482853527147143,0.0088607773323417,0.0117277521217265,-0.0443411990026079,15.0,15.0,15.0
xgboost,macro_only,RQ1_macro_baseline,2,"dgs10_lag1, vix_lag1",0.01431728072385,0.0022677513670191,0.018076494381581,0.002606441484119,-0.7358822074621214,0.5834323782354525,0.0114851796891977,0.0157262298170425,0.190493582439425,0.0090272523115761,0.0118416215821849,-0.0647195087967693,16.0,20.0,16.0
random_forest,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.0122134471687892,0.0047701594458981,0.0154428260651907,0.0055112357076907,-0.1350656356556085,0.0026158914211311,0.011597367166644,0.0162713710169212,0.1333986606776005,0.0090875433777219,0.0119262186344812,-0.0799866528995569,17.0,22.0,17.0
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_extreme_lag1",0.0144255707485351,0.0047180643707041,0.0179898275434941,0.0055818980043849,-0.5751055977379055,0.169963221941535,0.0098256486787633,0.0129549234180056,0.4506605856575291,0.0089268599532252,0.0119541691664753,-0.0850547427817807,18.0,18.0,18.0
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_extreme_lag1",0.0137117068635276,0.0050272508558268,0.0173739427898591,0.0058356982718984,-0.4541441762839726,0.1552659420548141,0.0093694975961796,0.0122909147741729,0.5055305385537656,0.0088855160279006,0.0119613200155003,-0.0863532660389432,19.0,16.0,19.0
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.0120322871607359,0.0042484461866265,0.0152637406071965,0.0049497606355627,-0.1279153012737179,0.1257191037055348,0.0114662526763762,0.015828563055136,0.1799241148720446,0.0089130837105374,0.0119842756310477,-0.0905270257468551,20.0,17.0,20.0
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.0121044079235642,0.0045473309699809,0.0154025030488011,0.0052146069588321,-0.1403954084633009,0.0989776209324096,0.0115525885165815,0.0159750301104402,0.1646770165945494,0.0089918080177333,0.0120417849080806,-0.1010184229557962,21.0,19.0,21.0
random_forest,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.012134072076521,0.004228516292165,0.0154155207040531,0.0049955489508726,-0.1527277895681615,0.1755408405317956,0.0117098869998323,0.0165739502857153,0.1008686846105991,0.0091490486512339,0.0120784249835244,-0.1077288521280672,22.0,23.0,22.0
random_forest,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.0122771772782523,0.0039062116420343,0.0155444611694699,0.0046851418599308,-0.1829559357559024,0.1813351875036188,0.0118589512624731,0.0163936671514508,0.1203229000842461,0.0090806585355958,0.0122387761111495,-0.1373361286238903,23.0,21.0,23.0
xgboost,sentiment_std_only,RQ2_standalone_sentiment,1,sentiment_std_lag1,0.0126610106694769,0.0039334544647039,0.0163555872760462,0.0047284518147235,-0.3214709750766318,0.2655432743118523,0.0115030549255091,0.0162228245570257,0.1385620445738341,0.009561715951836,0.012414473882089,-0.1702253268386497,24.0,24.0,24.0
xgboost,sentiment_extreme_only,RQ2_standalone_sentiment,1,sentiment_extreme_lag1,0.0130464284196112,0.0048067539184078,0.0167449855371766,0.0056764933590701,-0.3488962035507528,0.1612097069054796,0.0114550980650798,0.0159019537447156,0.1723017598281562,0.0096361646109858,0.0125168825032948,-0.1896116425354748,25.0,26.0,25.0
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,4,"dgs10_lag1, vix_lag1, sentiment_mean_lag1, sentiment_std_lag1",0.0137388119540471,0.0044359606212443,0.0173894821870416,0.0052355572804406,-0.482041697047896,0.2310178287657342,0.0093796025096114,0.0123142558129466,0.503650712690412,0.0095963324055572,0.0127363142709585,-0.2316870876769972,26.0,25.0,26.0
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,3,"dgs10_lag1, vix_lag1, sentiment_std_lag1",0.0145463354734865,0.0042650324089529,0.0182550847380619,0.0052251315360368,-0.6382147052036128,0.1985957814170192,0.0099162215233624,0.0131007037108496,0.438227715188598,0.0097049688212639,0.0128749847320491,-0.2586538260011584,27.0,27.0,27.0
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,1,sentiment_mean_lag1,0.0134746418635439,0.0035143248006947,0.0172652774152571,0.0042218067273374,-0.5256603013382541,0.5087004735733649,0.011612898319149,0.0158125649629895,0.1815809954680984,0.0101528258811659,0.0134528549021506,-0.3741741386021233,28.0,28.0,28.0
