model_family,spec,feature_spec_role,feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value_scaled,std_feature_value_scaled,n_test,n_features,best_params_json
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_extreme_lag1,0.00031453736148526174,0.0001158496199108395,0.0008794171933136883,-0.676196407459574,1.4064768751317642,252,3,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,0.00020018183895587695,-0.0001384074371728146,0.00020899309047568078,1.4591197412821495,0.19394651554770717,252,3,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_extreme,RQ3_incremental_sentiment_beyond_macro,vix_lag1,0.00012202495869341848,-8.628817858295718e-05,0.00040605035981064073,-0.8596472753674859,0.3971545580945347,252,3,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,0.0005095689035547917,0.000129338734802674,0.0015125457162504814,-0.36304926535938786,1.1633288515264153,252,3,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,vix_lag1,0.00015537808372226105,-7.803858730109578e-05,0.0005491972872557663,-0.8596472753674859,0.3971545580945347,252,3,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,9.864191951061293e-05,-8.608172708548015e-05,6.193903480623017e-05,1.4591197412821495,0.19394651554770717,252,3,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,0.0004315967305045516,8.18026808166312e-05,0.0012907972600384138,-0.36304926535938786,1.1633288515264153,252,4,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_extreme_lag1,0.00029447954663184444,0.00013670578077543369,0.0005352129732623519,-0.676196407459574,1.4064768751317642,252,4,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,vix_lag1,0.00015092277333388616,-0.00011521898642435827,0.0004755933992221129,-0.8596472753674859,0.3971545580945347,252,4,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,9.027535524797528e-05,-6.415226848647481e-05,8.140553201013476e-05,1.4591197412821495,0.19394651554770717,252,4,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,0.00046982225357491156,-0.00017503991487059352,0.0011315691647040668,-0.5487635253689244,1.4479160631836439,252,4,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,0.0004466775531291092,0.00013834806102447602,0.0013919416246908607,-0.36304926535938786,1.1633288515264153,252,4,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,0.00015745285726990823,-0.0001131529183919088,0.0004978778520232908,-0.8596472753674859,0.3971545580945347,252,4,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,0.00011213746198826301,-0.00011033354257352978,3.7199195723819904e-05,1.4591197412821495,0.19394651554770717,252,4,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_only,RQ1_macro_baseline,dgs10_lag1,0.00016702813762531878,-0.00016482620500104725,0.00010596332988023843,1.4591197412821495,0.19394651554770717,252,2,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_only,RQ1_macro_baseline,vix_lag1,9.355079700907673e-05,9.124146498875172e-05,0.00037338484307012764,-0.8596472753674859,0.3971545580945347,252,2,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,0.0005708544354437554,-0.0002614393914216686,0.0015561292574515103,-0.5487635253689244,1.4479160631836439,252,3,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,0.00023613149705648196,-0.00023511291946851787,6.140305649884826e-05,1.4591197412821495,0.19394651554770717,252,3,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,macro_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,8.205943476375409e-05,-1.753536997328123e-05,0.00032554459920575347,-0.8596472753674859,0.3971545580945347,252,3,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,sentiment_extreme_only,RQ2_standalone_sentiment,sentiment_extreme_lag1,0.0009749063148978623,0.0003560336533387066,0.002025209376044795,-0.676196407459574,1.4064768751317642,252,1,"{""n_estimators"": 100, ""max_depth"": 4, ""min_samples_leaf"": 3}"
random_forest,sentiment_mean_only,RQ2_standalone_sentiment,sentiment_mean_lag1,0.0019565641154025357,-0.00023615307201495792,0.005641318155864315,-0.36304926535938786,1.1633288515264153,252,1,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
random_forest,sentiment_std_only,RQ2_standalone_sentiment,sentiment_std_lag1,0.0010675827395339088,-0.0002399809900834419,0.0020429687560130816,-0.5487635253689244,1.4479160631836439,252,1,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1}"
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_extreme_lag1,0.00044682592852041125,0.00024028142797760665,0.0009101490722969174,-0.676196407459574,1.4064768751317642,252,3,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,0.00026225761394016445,-0.0002073426148854196,0.0002911319606937468,1.4591197412821495,0.19394651554770717,252,3,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_extreme,RQ3_incremental_sentiment_beyond_macro,vix_lag1,0.00012256260379217565,3.822648068307899e-05,0.00030234819860197604,-0.8596472753674859,0.3971545580945347,252,3,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,0.0007117067580111325,4.2231618863297626e-05,0.001772930845618248,-0.36304926535938786,1.1633288515264153,252,3,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,0.00012773866183124483,-8.38355699670501e-05,0.00018182367784902453,1.4591197412821495,0.19394651554770717,252,3,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean,RQ3_incremental_sentiment_beyond_macro,vix_lag1,9.460544970352203e-05,-1.3236243830760941e-05,0.00032249162904918194,-0.8596472753674859,0.3971545580945347,252,3,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,0.0005516429082490504,0.00010415080760139972,0.0015581139596179128,-0.36304926535938786,1.1633288515264153,252,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,sentiment_extreme_lag1,0.0003752337652258575,0.00020739440515171736,0.0004198910901322961,-0.676196407459574,1.4064768751317642,252,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,vix_lag1,0.00013441190822049975,-9.32437542360276e-05,0.0003405448514968157,-0.8596472753674859,0.3971545580945347,252,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean_extreme,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,0.00011123353033326566,-8.393071038881317e-05,0.00020973508071620017,1.4591197412821495,0.19394651554770717,252,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,0.0006521910545416176,7.437544263666496e-05,0.0016016229055821896,-0.36304926535938786,1.1633288515264153,252,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,0.0005066393059678376,-0.00010778714931802824,0.0010438328608870506,-0.5487635253689244,1.4479160631836439,252,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,0.00011269294191151857,-5.386380144045688e-05,0.00030624415376223624,-0.8596472753674859,0.3971545580945347,252,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,0.00010837570880539715,-0.00010516176553210244,4.253258521202952e-05,1.4591197412821495,0.19394651554770717,252,4,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_only,RQ1_macro_baseline,dgs10_lag1,0.00040869053918868303,0.00031092308927327394,0.0003203675732947886,1.4591197412821495,0.19394651554770717,252,2,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_only,RQ1_macro_baseline,vix_lag1,0.00014872841711621732,-0.00011737984459614381,0.0002600130974315107,-0.8596472753674859,0.3971545580945347,252,2,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,0.0005882776458747685,-0.00016261932614725083,0.0011623587924987078,-0.5487635253689244,1.4479160631836439,252,3,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,0.00015444852760992944,-0.0001380193280056119,0.00018570121028460562,1.4591197412821495,0.19394651554770717,252,3,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,macro_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,8.505074220011011e-05,-4.716644616564736e-05,0.00030733892344869673,-0.8596472753674859,0.3971545580945347,252,3,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,sentiment_extreme_only,RQ2_standalone_sentiment,sentiment_extreme_lag1,0.0009357272065244615,0.0003171502030454576,0.0016412172699347138,-0.676196407459574,1.4064768751317642,252,1,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,sentiment_mean_only,RQ2_standalone_sentiment,sentiment_mean_lag1,0.0016319813439622521,5.1357354095671326e-05,0.003080050926655531,-0.36304926535938786,1.1633288515264153,252,1,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
xgboost,sentiment_std_only,RQ2_standalone_sentiment,sentiment_std_lag1,0.0010630151955410838,-0.00034007005160674453,0.001770326285623014,-0.5487635253689244,1.4479160631836439,252,1,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
